Year,ISO-alpha3 Code,Neg,Neu,Pos,Compound
1970,ALB,0.163,0.605,0.233,0.9999
1970,ARG,0.118,0.615,0.267,0.9999
1970,AUS,0.13,0.615,0.255,0.9999
1970,AUT,0.084,0.626,0.289,0.9999
1970,BEL,0.068,0.67,0.262,0.9999
1970,BLR,0.116,0.593,0.291,1.0
1970,BOL,0.112,0.596,0.292,1.0
1970,BRA,0.13,0.626,0.245,0.9997
1970,CAN,0.123,0.645,0.232,0.9987
1970,CMR,0.094,0.603,0.303,0.9999
1970,COG,0.153,0.552,0.295,0.9998
1970,COL,0.115,0.629,0.256,0.9999
1970,CRI,0.134,0.599,0.267,0.9999
1970,CUB,0.149,0.636,0.215,0.9993
1970,DOM,0.102,0.627,0.27,0.9999
1970,DZA,0.141,0.597,0.261,0.9998
1970,ECU,0.152,0.62,0.228,0.9996
1970,FRA,0.139,0.635,0.226,0.9992
1970,GBR,0.176,0.608,0.216,0.9943
1970,GHA,0.1,0.627,0.273,0.9999
1970,GIN,0.146,0.58,0.274,0.9998
1970,GMB,0.123,0.599,0.278,0.9999
1970,GTM,0.109,0.569,0.322,0.9998
1970,HND,0.115,0.635,0.249,0.9995
1970,HTI,0.132,0.609,0.258,0.9998
1970,IDN,0.13,0.605,0.265,0.9997
1970,IND,0.116,0.565,0.319,0.9999
1970,IRN,0.072,0.619,0.309,0.9999
1970,IRQ,0.123,0.614,0.263,0.9999
1970,ISL,0.105,0.635,0.26,0.9998
1970,ISR,0.157,0.609,0.234,0.9999
1970,ITA,0.07,0.634,0.297,0.9999
1970,JPN,0.064,0.547,0.389,1.0
1970,KEN,0.147,0.564,0.289,0.9998
1970,KHM,0.11,0.587,0.304,0.9999
1970,KWT,0.157,0.579,0.263,0.9995
1970,LBN,0.158,0.567,0.275,0.999
1970,LBR,0.114,0.566,0.319,0.9999
1970,LBY,0.135,0.599,0.265,0.9997
1970,LKA,0.117,0.631,0.252,0.9999
1970,MAR,0.142,0.579,0.278,0.9999
1970,MDG,0.119,0.57,0.311,0.9998
1970,MEX,0.093,0.633,0.274,0.9999
1970,MMR,0.086,0.613,0.301,0.9999
1970,NLD,0.113,0.596,0.292,0.9999
1970,NOR,0.126,0.582,0.292,0.9997
1970,NZL,0.112,0.655,0.233,0.9998
1970,PAK,0.171,0.613,0.217,0.9995
1970,PER,0.084,0.647,0.269,0.9999
1970,PHL,0.139,0.606,0.255,0.9988
1970,PRY,0.102,0.631,0.267,0.9998
1970,RWA,0.132,0.554,0.314,0.9999
1970,SDN,0.151,0.614,0.234,0.9997
1970,SGP,0.113,0.612,0.275,0.9997
1970,SLE,0.131,0.614,0.256,0.9998
1970,SLV,0.094,0.677,0.229,0.9999
1970,SOM,0.151,0.602,0.247,0.9998
1970,SYR,0.161,0.557,0.282,0.9999
1970,TGO,0.134,0.617,0.248,0.9997
1970,THA,0.098,0.625,0.277,0.9999
1970,TTO,0.064,0.683,0.253,0.9999
1970,TUN,0.129,0.583,0.289,0.9999
1970,TUR,0.13,0.557,0.313,0.9999
1970,UKR,0.12,0.6,0.28,0.9999
1970,URY,0.1,0.637,0.263,0.9999
1970,USA,0.081,0.603,0.316,1.0
1970,VEN,0.172,0.585,0.243,0.9994
1970,YUG,0.114,0.626,0.261,0.9997
1970,ZAF,0.085,0.644,0.27,0.9999
1970,ZMB,0.167,0.583,0.249,0.9996
1971,AFG,0.1,0.601,0.3,0.9999
1971,ALB,0.157,0.58,0.264,0.9999
1971,ARG,0.075,0.663,0.262,0.9999
1971,AUS,0.093,0.633,0.274,0.9999
1971,AUT,0.103,0.609,0.288,0.9999
1971,BDI,0.127,0.622,0.25,0.9999
1971,BEL,0.077,0.662,0.261,0.9999
1971,BEN,0.119,0.569,0.312,0.9997
1971,BFA,0.13,0.631,0.24,0.9998
1971,BGR,0.117,0.587,0.296,0.9999
1971,BLR,0.122,0.604,0.274,0.9999
1971,BOL,0.123,0.633,0.243,0.9999
1971,BRA,0.104,0.641,0.255,0.9998
1971,CAF,0.088,0.608,0.304,0.9999
1971,CAN,0.122,0.619,0.259,0.9997
1971,CHL,0.08,0.606,0.314,1.0
1971,CHN,0.167,0.576,0.258,0.9993
1971,CIV,0.166,0.601,0.233,0.9994
1971,CMR,0.14,0.591,0.268,0.9996
1971,COD,0.125,0.622,0.252,0.9998
1971,COG,0.185,0.584,0.231,0.9986
1971,COL,0.109,0.653,0.237,0.9999
1971,CSK,0.102,0.607,0.29,0.9998
