,Year,ISO-alpha3 Code,Neg,Neu,Pos,Compound
0,1970,ALB,0.111,0.734,0.155,0.9999
1,1970,ARG,0.086,0.744,0.17,0.9999
2,1970,AUS,0.085,0.759,0.156,0.9999
3,1970,AUT,0.062,0.736,0.202,1.0
4,1970,BEL,0.047,0.79,0.163,1.0
5,1970,BLR,0.074,0.745,0.181,1.0
6,1970,BOL,0.079,0.747,0.174,0.9999
7,1970,BRA,0.072,0.795,0.133,0.9997
8,1970,CAN,0.068,0.782,0.149,0.9994
9,1970,CMR,0.067,0.742,0.191,0.9999
10,1970,COG,0.106,0.696,0.199,0.9999
11,1970,COL,0.063,0.787,0.15,1.0
12,1970,CRI,0.099,0.725,0.176,0.9999
13,1970,CUB,0.1,0.764,0.136,0.9994
14,1970,DOM,0.064,0.778,0.158,0.9999
15,1970,DZA,0.091,0.741,0.168,0.9999
16,1970,ECU,0.105,0.74,0.155,0.9998
17,1970,FRA,0.081,0.758,0.162,0.9998
18,1970,GBR,0.119,0.751,0.13,0.9662
19,1970,GHA,0.065,0.751,0.185,1.0
20,1970,GIN,0.099,0.717,0.183,0.9999
21,1970,GMB,0.091,0.715,0.194,0.9999
22,1970,GTM,0.058,0.759,0.183,0.9998
23,1970,HND,0.071,0.762,0.167,0.9998
24,1970,HTI,0.092,0.742,0.166,0.9998
25,1970,IDN,0.085,0.73,0.185,0.9999
26,1970,IND,0.08,0.694,0.226,1.0
27,1970,IRN,0.057,0.74,0.203,0.9999
28,1970,IRQ,0.089,0.727,0.184,0.9999
29,1970,ISL,0.07,0.773,0.157,0.9999
30,1970,ISR,0.105,0.718,0.177,1.0
31,1970,ITA,0.054,0.751,0.195,0.9999
32,1970,JPN,0.039,0.737,0.223,1.0
33,1970,KEN,0.114,0.69,0.196,0.9999
34,1970,KHM,0.074,0.742,0.184,1.0
35,1970,KWT,0.082,0.76,0.158,0.9997
36,1970,LBN,0.11,0.726,0.164,0.9976
37,1970,LBR,0.079,0.72,0.201,1.0
38,1970,LBY,0.08,0.77,0.15,0.9996
39,1970,LKA,0.085,0.763,0.152,0.9998
40,1970,MAR,0.096,0.705,0.199,1.0
41,1970,MDG,0.083,0.727,0.19,0.9999
42,1970,MEX,0.071,0.757,0.172,0.9999
43,1970,MMR,0.057,0.757,0.186,0.9999
44,1970,NLD,0.084,0.719,0.196,0.9999
45,1970,NOR,0.095,0.72,0.185,0.9997
46,1970,NZL,0.079,0.775,0.146,0.9998
47,1970,PAK,0.123,0.728,0.148,0.9996
48,1970,PER,0.052,0.785,0.162,0.9999
